care most,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
tech,2,5,6,22,10,2,1,27,16,55,10,54,10
Env,1,27,20,7,11,17,7,15,37,45,19,22,13
health ,50,24,17,6,8,2,2,29,22,42,29,38,15
Human Rights,4,4,10,8,7,3,2,32,11,13,5,23,11
,57,60,53,43,36,24,12,103,86,155,63,137,49
,,,,,,,,,,,,,
care most,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
tech,0.035087719,0.083333333,0.113207547,0.511627907,0.277777778,0.083333333,0.083333333,0.262135922,0.186046512,0.35483871,0.158730159,0.394160584,0.204081633
Env,0.01754386,0.45,0.377358491,0.162790698,0.305555556,0.708333333,0.583333333,0.145631068,0.430232558,0.290322581,0.301587302,0.160583942,0.265306122
health ,0.877192982,0.4,0.320754717,0.139534884,0.222222222,0.083333333,0.166666667,0.281553398,0.255813953,0.270967742,0.46031746,0.277372263,0.306122449
Human Rights,0.070175439,0.066666667,0.188679245,0.186046512,0.194444444,0.125,0.166666667,0.310679612,0.127906977,0.083870968,0.079365079,0.167883212,0.224489796
,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,
,,,,,,,,,,,,,
eavesdrop,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Lean ,11,14,4,12,11,0,0,39,17,78,6,55,15
Metal,11,24,10,2,9,2,1,15,54,37,20,17,6
microchip,21,6,4,20,10,3,0,22,4,33,27,52,10
earthquake,10,12,31,5,2,15,7,23,7,3,6,9,14
,,,,,,,,,,,,,
eavesdrop,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Lean ,12,15,5,13,12,1,1,40,18,79,7,56,16
Metal,12,25,11,3,10,3,2,16,55,38,21,18,7
microchip,22,7,5,21,11,4,1,23,5,34,28,53,11
earthquake,11,13,32,6,3,16,8,24,8,4,7,10,15
,57,60,53,43,36,24,12,103,86,155,63,137,49
,,,,,,,,,,,,,
eavesdrop,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Lean ,0.210526316,0.25,0.094339623,0.302325581,0.333333333,0.041666667,0.083333333,0.388349515,0.209302326,0.509677419,0.111111111,0.408759124,0.326530612
Metal,0.210526316,0.416666667,0.20754717,0.069767442,0.277777778,0.125,0.166666667,0.155339806,0.639534884,0.24516129,0.333333333,0.131386861,0.142857143
microchip,0.385964912,0.116666667,0.094339623,0.488372093,0.305555556,0.166666667,0.083333333,0.223300971,0.058139535,0.219354839,0.444444444,0.386861314,0.224489796
earthquake,0.192982456,0.216666667,0.603773585,0.139534884,0.083333333,0.666666667,0.666666667,0.233009709,0.093023256,0.025806452,0.111111111,0.072992701,0.306122449
,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,
,,,,,,,,,,,,,
working_with,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Process,2,3,0,0,1,0,1,30,1,1,2,0,3
Comuter,10,3,6,29,12,3,1,10,12,72,12,103,7
Machinery,4,11,3,1,3,2,0,1,34,36,9,0,0
people,37,39,40,9,16,15,6,58,35,42,36,30,35
,,,,,,,,,,,,,
working_with,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Process,3,4,1,1,2,1,2,31,2,2,3,1,4
Comuter,11,4,7,30,13,4,2,11,13,73,13,104,8
Machinery,5,12,4,2,4,3,1,2,35,37,10,1,1
people,38,40,41,10,17,16,7,59,36,43,37,31,36
,57,60,53,43,36,24,12,103,86,155,63,137,49
,,,,,,,,,,,,,
working_with,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Process,0.052631579,0.066666667,0.018867925,0.023255814,0.055555556,0.041666667,0.166666667,0.300970874,0.023255814,0.012903226,0.047619048,0.00729927,0.081632653
Comuter,0.192982456,0.066666667,0.132075472,0.697674419,0.361111111,0.166666667,0.166666667,0.106796117,0.151162791,0.470967742,0.206349206,0.759124088,0.163265306
Machinery,0.087719298,0.2,0.075471698,0.046511628,0.111111111,0.125,0.083333333,0.019417476,0.406976744,0.238709677,0.158730159,0.00729927,0.020408163
people,0.666666667,0.666666667,0.773584906,0.23255814,0.472222222,0.666666667,0.583333333,0.572815534,0.418604651,0.277419355,0.587301587,0.226277372,0.734693878
